image,precision,recall,f1,iou,dice,accuracy,specificity,error
01.png,0.819156,0.415826,0.55163,0.380863,0.55163,0.961124,0.994398,0.44837
02.png,0.853241,0.637535,0.729782,0.574533,0.729782,0.955261,0.988521,0.270218
03.png,0.732997,0.811563,0.770282,0.626389,0.770282,0.954071,0.96901,0.229718
04.png,0.838369,0.791838,0.81444,0.686966,0.81444,0.967587,0.984933,0.18556
05.png,0.758279,0.713875,0.735407,0.581537,0.735407,0.952984,0.977073,0.264593
06.png,0.783005,0.806822,0.794735,0.659386,0.794735,0.957821,0.974823,0.205265
07.png,0.832667,0.678819,0.747913,0.597333,0.747913,0.957146,0.985905,0.252087
08.png,0.791895,0.525804,0.631983,0.46197,0.631983,0.960846,0.990562,0.368017
09.png,0.746083,0.535583,0.623547,0.45301,0.623547,0.953064,0.985735,0.376453
10.png,0.77341,0.77069,0.772048,0.628728,0.772048,0.957542,0.976768,0.227952
11.png,0.846508,0.756347,0.798891,0.665128,0.798891,0.969273,0.987962,0.201109
12.png,0.798522,0.772926,0.785516,0.646789,0.785516,0.963531,0.981557,0.214484
13.png,0.803979,0.729338,0.764842,0.619225,0.764842,0.961891,0.983487,0.235158
14.png,0.7696,0.864946,0.814492,0.687041,0.814492,0.960682,0.971295,0.185508
15.png,0.736767,0.839664,0.784857,0.645897,0.784857,0.955666,0.968028,0.215143
16.png,0.323466,0.883409,0.473542,0.310223,0.473542,0.882446,0.882385,0.526458
17.png,0.543882,0.831795,0.65771,0.489991,0.65771,0.92179,0.930727,0.34229
18.png,0.43327,0.913853,0.587838,0.416268,0.587838,0.910746,0.910514,0.412162
19.png,0.508489,0.872361,0.642483,0.473278,0.642483,0.921924,0.926259,0.357517
20.png,0.718558,0.577249,0.640199,0.470803,0.640199,0.933747,0.974288,0.359801
AVERAGE,0.720607,0.736512,0.706107,0.553768,0.706107,0.947957,0.967212,0.293893
